PING 217.216.135.188 (217.216.135.188) 1024(1052) bytes of data.
1032 bytes from 217.216.135.188: icmp_seq=1 ttl=56 time=61.2 ms
1032 bytes from 217.216.135.188: icmp_seq=2 ttl=56 time=58.2 ms
1032 bytes from 217.216.135.188: icmp_seq=3 ttl=56 time=53.0 ms
1032 bytes from 217.216.135.188: icmp_seq=4 ttl=56 time=61.9 ms
1032 bytes from 217.216.135.188: icmp_seq=5 ttl=56 time=61.0 ms
1032 bytes from 217.216.135.188: icmp_seq=6 ttl=56 time=60.3 ms
1032 bytes from 217.216.135.188: icmp_seq=7 ttl=56 time=68.6 ms
1032 bytes from 217.216.135.188: icmp_seq=8 ttl=56 time=63.3 ms
1032 bytes from 217.216.135.188: icmp_seq=9 ttl=56 time=69.2 ms
1032 bytes from 217.216.135.188: icmp_seq=10 ttl=56 time=64.0 ms
1032 bytes from 217.216.135.188: icmp_seq=11 ttl=56 time=60.4 ms
1032 bytes from 217.216.135.188: icmp_seq=12 ttl=56 time=66.1 ms
1032 bytes from 217.216.135.188: icmp_seq=13 ttl=56 time=55.1 ms
1032 bytes from 217.216.135.188: icmp_seq=14 ttl=56 time=63.2 ms
1032 bytes from 217.216.135.188: icmp_seq=15 ttl=56 time=60.2 ms
1032 bytes from 217.216.135.188: icmp_seq=16 ttl=56 time=60.6 ms
1032 bytes from 217.216.135.188: icmp_seq=17 ttl=56 time=68.5 ms
1032 bytes from 217.216.135.188: icmp_seq=18 ttl=56 time=63.0 ms
1032 bytes from 217.216.135.188: icmp_seq=19 ttl=56 time=61.2 ms
1032 bytes from 217.216.135.188: icmp_seq=20 ttl=56 time=66.3 ms
1032 bytes from 217.216.135.188: icmp_seq=21 ttl=56 time=68.1 ms
1032 bytes from 217.216.135.188: icmp_seq=22 ttl=56 time=60.3 ms
1032 bytes from 217.216.135.188: icmp_seq=23 ttl=56 time=53.1 ms
1032 bytes from 217.216.135.188: icmp_seq=24 ttl=56 time=60.2 ms
1032 bytes from 217.216.135.188: icmp_seq=25 ttl=56 time=59.7 ms
1032 bytes from 217.216.135.188: icmp_seq=26 ttl=56 time=68.2 ms
1032 bytes from 217.216.135.188: icmp_seq=27 ttl=56 time=61.0 ms
1032 bytes from 217.216.135.188: icmp_seq=28 ttl=56 time=63.5 ms
1032 bytes from 217.216.135.188: icmp_seq=29 ttl=56 time=61.9 ms
1032 bytes from 217.216.135.188: icmp_seq=30 ttl=56 time=63.0 ms
1032 bytes from 217.216.135.188: icmp_seq=31 ttl=56 time=62.4 ms
1032 bytes from 217.216.135.188: icmp_seq=32 ttl=56 time=67.8 ms
1032 bytes from 217.216.135.188: icmp_seq=33 ttl=56 time=60.0 ms
1032 bytes from 217.216.135.188: icmp_seq=34 ttl=56 time=61.1 ms
1032 bytes from 217.216.135.188: icmp_seq=35 ttl=56 time=60.3 ms
