PING 192.168.1.1 (192.168.1.1) 1024(1052) bytes of data.
1032 bytes from 192.168.1.1: icmp_seq=1 ttl=64 time=28.1 ms
1032 bytes from 192.168.1.1: icmp_seq=2 ttl=64 time=55.7 ms
1032 bytes from 192.168.1.1: icmp_seq=3 ttl=64 time=27.3 ms
1032 bytes from 192.168.1.1: icmp_seq=4 ttl=64 time=22.7 ms
1032 bytes from 192.168.1.1: icmp_seq=5 ttl=64 time=22.8 ms
1032 bytes from 192.168.1.1: icmp_seq=6 ttl=64 time=39.4 ms
1032 bytes from 192.168.1.1: icmp_seq=7 ttl=64 time=45.2 ms
1032 bytes from 192.168.1.1: icmp_seq=8 ttl=64 time=49.9 ms
1032 bytes from 192.168.1.1: icmp_seq=9 ttl=64 time=22.4 ms
1032 bytes from 192.168.1.1: icmp_seq=10 ttl=64 time=27.6 ms
1032 bytes from 192.168.1.1: icmp_seq=11 ttl=64 time=33.5 ms
1032 bytes from 192.168.1.1: icmp_seq=12 ttl=64 time=53.6 ms
1032 bytes from 192.168.1.1: icmp_seq=13 ttl=64 time=22.5 ms
1032 bytes from 192.168.1.1: icmp_seq=14 ttl=64 time=34.0 ms
1032 bytes from 192.168.1.1: icmp_seq=15 ttl=64 time=22.6 ms
1032 bytes from 192.168.1.1: icmp_seq=16 ttl=64 time=89.7 ms
1032 bytes from 192.168.1.1: icmp_seq=17 ttl=64 time=27.8 ms
1032 bytes from 192.168.1.1: icmp_seq=18 ttl=64 time=65.8 ms
1032 bytes from 192.168.1.1: icmp_seq=19 ttl=64 time=27.8 ms
1032 bytes from 192.168.1.1: icmp_seq=20 ttl=64 time=38.6 ms
1032 bytes from 192.168.1.1: icmp_seq=21 ttl=64 time=22.6 ms
1032 bytes from 192.168.1.1: icmp_seq=22 ttl=64 time=22.3 ms
1032 bytes from 192.168.1.1: icmp_seq=23 ttl=64 time=30.4 ms
1032 bytes from 192.168.1.1: icmp_seq=24 ttl=64 time=33.7 ms
1032 bytes from 192.168.1.1: icmp_seq=25 ttl=64 time=22.3 ms
1032 bytes from 192.168.1.1: icmp_seq=26 ttl=64 time=28.7 ms
1032 bytes from 192.168.1.1: icmp_seq=27 ttl=64 time=23.4 ms
1032 bytes from 192.168.1.1: icmp_seq=28 ttl=64 time=47.1 ms
1032 bytes from 192.168.1.1: icmp_seq=29 ttl=64 time=27.2 ms
1032 bytes from 192.168.1.1: icmp_seq=30 ttl=64 time=34.5 ms
1032 bytes from 192.168.1.1: icmp_seq=31 ttl=64 time=28.8 ms
1032 bytes from 192.168.1.1: icmp_seq=32 ttl=64 time=86.2 ms
1032 bytes from 192.168.1.1: icmp_seq=33 ttl=64 time=22.4 ms
1032 bytes from 192.168.1.1: icmp_seq=34 ttl=64 time=70.2 ms
