PING 192.168.1.111 (192.168.1.111) 16(44) bytes of data.
24 bytes from 192.168.1.111: icmp_seq=1 ttl=64 time=7.63 ms
24 bytes from 192.168.1.111: icmp_seq=2 ttl=64 time=31.6 ms
24 bytes from 192.168.1.111: icmp_seq=3 ttl=64 time=1.27 ms
24 bytes from 192.168.1.111: icmp_seq=4 ttl=64 time=312 ms
24 bytes from 192.168.1.111: icmp_seq=5 ttl=64 time=1.28 ms
24 bytes from 192.168.1.111: icmp_seq=6 ttl=64 time=152 ms
24 bytes from 192.168.1.111: icmp_seq=7 ttl=64 time=1.40 ms
24 bytes from 192.168.1.111: icmp_seq=8 ttl=64 time=1.85 ms
24 bytes from 192.168.1.111: icmp_seq=9 ttl=64 time=1.71 ms
24 bytes from 192.168.1.111: icmp_seq=10 ttl=64 time=1.40 ms
24 bytes from 192.168.1.111: icmp_seq=11 ttl=64 time=2.55 ms
24 bytes from 192.168.1.111: icmp_seq=12 ttl=64 time=229 ms
24 bytes from 192.168.1.111: icmp_seq=13 ttl=64 time=278 ms
24 bytes from 192.168.1.111: icmp_seq=14 ttl=64 time=3.21 ms
24 bytes from 192.168.1.111: icmp_seq=15 ttl=64 time=1.37 ms
24 bytes from 192.168.1.111: icmp_seq=16 ttl=64 time=1.14 ms
24 bytes from 192.168.1.111: icmp_seq=17 ttl=64 time=1.25 ms
24 bytes from 192.168.1.111: icmp_seq=18 ttl=64 time=6.66 ms
24 bytes from 192.168.1.111: icmp_seq=19 ttl=64 time=5.48 ms
24 bytes from 192.168.1.111: icmp_seq=20 ttl=64 time=1.73 ms
24 bytes from 192.168.1.111: icmp_seq=22 ttl=64 time=1.05 ms
24 bytes from 192.168.1.111: icmp_seq=23 ttl=64 time=0.865 ms
24 bytes from 192.168.1.111: icmp_seq=24 ttl=64 time=155 ms
24 bytes from 192.168.1.111: icmp_seq=25 ttl=64 time=209 ms
24 bytes from 192.168.1.111: icmp_seq=26 ttl=64 time=1.51 ms
24 bytes from 192.168.1.111: icmp_seq=28 ttl=64 time=1.64 ms
24 bytes from 192.168.1.111: icmp_seq=29 ttl=64 time=1.19 ms
24 bytes from 192.168.1.111: icmp_seq=30 ttl=64 time=1.20 ms
24 bytes from 192.168.1.111: icmp_seq=31 ttl=64 time=1.17 ms
24 bytes from 192.168.1.111: icmp_seq=32 ttl=64 time=0.984 ms
24 bytes from 192.168.1.111: icmp_seq=33 ttl=64 time=1.13 ms
24 bytes from 192.168.1.111: icmp_seq=34 ttl=64 time=4.23 ms
24 bytes from 192.168.1.111: icmp_seq=35 ttl=64 time=1.62 ms
24 bytes from 192.168.1.111: icmp_seq=36 ttl=64 time=1.16 ms
24 bytes from 192.168.1.111: icmp_seq=37 ttl=64 time=2.24 ms
24 bytes from 192.168.1.111: icmp_seq=38 ttl=64 time=2.22 ms
