Wavelet,Levels,QuantStep,RMSE_Mean,SNR_Mean,Bitrate_kbps
db5,3,64,0.012507319999999999,117.11434372,100.9
db5,3,256,0.01302937,98.27353416,52.09090909090909
db5,3,512,0.027261164999999997,84.570901005,43.5
db5,3,1024,0.04288128,77.15433627,36.9
db5,3,2048,0.10491748000000001,59.046103075000005,38.27272727272727
db5,3,4096,0.160557735,51.10143659,37.599999999999994
db5,3,8192,0.35214977999999997,40.51145513,31.090909090909093
db5,3,16384,0.35518063,40.48258355,31.2
db5,5,64,0.004566605,117.902876255,105.36363636363636
db5,5,256,0.009592625,103.98510895,49.72727272727273
db5,5,512,0.016845895,93.099349615,44.90909090909091
db5,5,1024,0.027768640000000004,84.27213121,36.300000000000004
db5,5,2048,0.04145565,77.501203755,33.09090909090909
db5,5,4096,0.108165155,58.29393803,33.0
db5,5,8192,0.165010285,49.253268675,33.27272727272727
db5,5,16384,0.355589115,40.634739315000004,31.1
db5,6,64,0.004071625000000001,119.6844191,84.18181818181819
db5,6,256,0.006814735,109.70866519500001,42.45454545454545
db5,6,512,0.010283565000000001,103.35576282,36.4
db5,6,1024,0.01894717,91.857645545,34.09090909090909
db5,6,2048,0.029354150000000002,83.614261285,33.4
db5,6,4096,0.052732495000000004,70.961855325,31.7
db5,6,8192,0.13974573,57.28565483,31.363636363636363
db5,6,16384,0.29090657,38.995227105,31.0
