Wavelet,Levels,QuantStep,RMSE_Mean,SNR_Mean,Bitrate_kbps
db5,3,64,0.01278873,113.56367602,174.60000000000002
db5,3,256,0.013508235,97.44346501999999,61.72727272727273
db5,3,512,0.02626327,84.71739619,45.1
db5,3,1024,0.042187199999999994,77.31765855,35.5
db5,3,2048,0.10727779999999999,58.030377125,37.54545454545454
db5,3,4096,0.159787045,50.09094983,38.81818181818181
db5,3,8192,0.353365365,40.063441190000006,31.090909090909093
db5,3,16384,0.353006645,40.259947925,31.0
db5,5,64,0.004564355,117.31831460999999,94.72727272727272
db5,5,256,0.009183145,104.67136638,51.27272727272727
db5,5,512,0.01305476,98.173597795,40.81818181818182
db5,5,1024,0.026556175,84.46410513000001,40.1
db5,5,2048,0.044117255,76.414830865,35.599999999999994
db5,5,4096,0.10686641,59.267578465,34.099999999999994
db5,5,8192,0.161175705,49.886109935,32.81818181818181
db5,5,16384,0.354012125,39.882333765,31.0
db5,6,64,0.004174875,118.311084675,92.72727272727272
db5,6,256,0.00696585,109.084633,40.909090909090914
db5,6,512,0.01083186,101.29522619,38.45454545454546
db5,6,1024,0.02186475,88.57881259000001,37.54545454545455
db5,6,2048,0.039060775,77.97214491,37.0
db5,6,4096,0.059983749999999995,68.21848169,32.900000000000006
db5,6,8192,0.13909929499999998,56.50955133,31.636363636363637
db5,6,16384,0.291833395,39.009102555,31.2
