Wavelet,Levels,QuantStep,RMSE_Mean,SNR_Mean,Bitrate_kbps
db5,3,64,0.015491615,113.180163135,128.2
db5,3,256,0.013027130000000001,98.54480422,46.72727272727272
db5,3,512,0.026833515,84.51780339,48.45454545454545
db5,3,1024,0.04274728,77.31517147,36.18181818181818
db5,3,2048,0.105426835,58.422589655,34.90909090909092
db5,3,4096,0.142981855,52.59874772,34.4
db5,3,8192,0.367944105,39.660335305,32.63636363636364
db5,3,16384,0.35392586000000004,41.956596585,31.090909090909093
db5,5,64,0.00417566,120.868206105,66.3
db5,5,256,0.00735903,109.26342377,43.36363636363637
db5,5,512,0.01580047,95.05163433999999,43.27272727272727
db5,5,1024,0.028045695,84.247716575,37.27272727272727
db5,5,2048,0.04182478,77.431126195,32.63636363636364
db5,5,4096,0.104512545,59.119739055,32.27272727272727
db5,5,8192,0.154723585,51.087062855,32.9
db5,5,16384,0.35370069499999995,41.15982076,31.0
db5,7,64,0.004740515000000001,116.78647054500001,100.18181818181817
db5,7,256,0.00723578,109.006360935,44.81818181818182
db5,7,512,0.01161297,101.93562568,40.18181818181818
db5,7,1024,0.014944585,95.99484646,32.72727272727273
db5,7,2048,0.031135795,82.510572455,32.7
db5,7,4096,0.041316244999999995,78.36990444,31.1
db5,7,8192,0.10323594999999999,59.436497055,31.1
db5,7,16384,0.156686285,50.748479939999996,31.2
